4577000|20200826|4577000|APPROVAL|-5493240|13675246|2||5533599|1065032-106-AALIB|1|20200826|
4576999|20200826|4576999|APPROVAL|-5493239|13675247|2||5533600|1065032-106-AALIB|1|20200826|
4577043|20200826|4577043|SHIPPING|-5074670|8533921|1||5533843|1065084-101-AALIB|1|20200826|
4577043|20200826|4577043|SHIPPING|-5074670|8533921|1||5533938|1065084-101-AALIB|1|20200826|
4543292|19970830|4543292|STANDING|-5494054|13680315|2||5534812|1065087-105-AALIB|1|20200831|
4577043|20200826|4577043|SHIPPING|-5074670|8533921|1||5535052|1065084-101-AALIB|1|20200831|
4577740|20200901|4577740|APPROVAL|-5494389|13681319|3||5535254|1065032-116-KAQAQ|1|20200901|
4534963|20200807|4534963|FIRM|-5449539|13669121|1|LAS|5535380|1065089-105-AALIB|1|20200822|
4576346|20200824|4576346|SHIPPING|-5083455|5480334|1||5535432|1065084-101-AALIB|1|20200901|
4576346|20200824|4576346|SHIPPING|-5083455|5480334|1||5535526|1065084-101-AALIB|1|20200901|
4539640|20000308|4539640|STANDING|-5495031|13681933|2||5536452|1065087-105-AALIB|1|20200903|
4539589|19971204|4539589|STANDING|-5495032|13681934|2||5536453|1065032-104-AALIB|1|20200903|
4539671|20010718|4539671|STANDING|-5495033|13681935|2||5536454|1065032-104-AALIB|1|20200903|
4539680|20010801|4539680|STANDING|-5495034|13681936|2||5536455|1065032-104-AALIB|1|20200903|
4578703|20200907|4578703|APPROVAL|-5495661|13683717|4||5537005|1065032-104-KAVHL|1|20200907|
4578702|20200907|4578702|APPROVAL|-5495660|13683718|2||5537006|1065032-104-AALIB|1|20200907|
4578701|20200907|4578701|APPROVAL|-5495659|13683719|2||5537007|1065032-104-AALIB|1|20200907|
4578700|20200907|4578700|APPROVAL|-5495658|13683720|2||5537008|1065032-104-KARHW|1|20200907|
4578699|20200907|4578699|APPROVAL|-5495657|13683721|2||5537009|1065032-110-AALIB|1|20200907|
4578698|20200907|4578698|APPROVAL|-5495656|13683722|2||5537010|1065032-104-KAVHL|1|20200907|
4578697|20200907|4578697|APPROVAL|-5495655|13683723|2||5537011|1065032-104-AALIB|1|20200907|
4578696|20200907|4578696|APPROVAL|-5495654|13683724|3||5537012|1065032-104-AALIB|1|20200907|
4578695|20200907|4578695|APPROVAL|-5495653|13683725|3||5537013|1065032-104-AALIB|1|20200907|
4578694|20200907|4578694|APPROVAL|-5495652|13683726|2||5537014|1065032-104-AALIB|1|20200907|
4578693|20200907|4578693|APPROVAL|-5495651|13683727|2||5537015|1065032-104-AALIB|1|20200907|
4578692|20200907|4578692|APPROVAL|-5495650|13683728|3||5537016|1065032-104-AALIB|1|20200907|
4578704|20200907|4578704|APPROVAL|-5495662|13683729|2||5537017|1065032-104-AALIB|1|20200907|
4578691|20200907|4578691|APPROVAL|-5495649|13683730|2||5537018|1065087-109-AALIB|1|20200907|
4578690|20200907|4578690|APPROVAL|-5495648|13683731|3||5537019|1065032-104-AALIB|1|20200907|
4578689|20200907|4578689|APPROVAL|-5495647|13683732|2||5537020|1065032-104-AALIB|1|20200907|
4578715|20200907|4578715|APPROVAL|-5495673|13683733|3||5537021|1065032-104-AALIB|1|20200907|
4578714|20200907|4578714|APPROVAL|-5495672|13683734|2||5537022|1065032-104-AALIB|1|20200907|
4578713|20200907|4578713|APPROVAL|-5495671|13683735|2||5537023|1065032-104-AALIB|1|20200907|
4578712|20200907|4578712|APPROVAL|-5495670|13683736|3||5537024|1065032-104-AALIB|1|20200907|
4578716|20200907|4578716|APPROVAL|-5495674|13683737|3||5537025|1065087-102-AALIB|1|20200907|
4578710|20200907|4578710|APPROVAL|-5495668|13683738|3||5537026|1065032-104-AALIB|1|20200907|
4578709|20200907|4578709|APPROVAL|-5495667|13683739|2||5537027|1065032-104-AALIB|1|20200907|
4578708|20200907|4578708|APPROVAL|-5495666|13683740|2||5537028|1065032-104-AALIB|1|20200907|
4578707|20200907|4578707|APPROVAL|-5495665|13683741|2||5537029|1065032-104-AALIB|1|20200907|
4578706|20200907|4578706|APPROVAL|-5495664|13683742|2||5537030|1065032-104-KARHW|1|20200907|
4578705|20200907|4578705|APPROVAL|-5495663|13683743|2||5537031|1065032-104-AALIB|1|20200907|
4578711|20200907|4578711|APPROVAL|-5495669|13683744|3||5537032|1065087-102-AALIB|1|20200907|
4577042|20200826|4577042|SHIPPING|-5067548|8533921|1||5537151|1065084-101-AALIB|1|20200907|
4577042|20200826|4577042|SHIPPING|-5067548|8533921|1||5537164|1065084-101-AALIB|1|20200907|
4588561|20201027|4588561|FIRM|-5510693|13728317|1|RGT|5559974|1065090-101-KBAEB|1|20201027|
4588327|20201026|4588327|SHIPPING|-5091175|5480334|1||5560000|1065084-101-AALIB|1|20201028|
4571280|20101210|4571280|DATAB2|-5486603|8827045|1|nk|5560301|1065032-114-AALIB|1|20201028|
4588687|20201027|4588687|FIRM|-5510855|13728479|1||5560302|1026044-1-AABNN|1|20201027|
4588843|20201028|4588843|FIRM|-5511081|13728700|1||5560303|1026044-1-AABNN|1|20201028|
4562423|20141006|4562423|SUBSCRIPT|651453|468547|1||5560304|1065087-101-AALIB|1|20201028|
4543548|19970830|4543548|STANDING|862209|492960|8|CRP|5560307|1065032-120-AALIB|1|20201028|
4543333|19970830|4543333|STANDING|650455|462089|1|BLS|5560310|1065032-101-NAAUS|1|20201028|
4543417|19970830|4543417|STANDING|652723|475998|13|jem|5560313|1065087-104-KAURH|1|20201028|
4543417|19970830|4543417|STANDING|652723|475998|13|jem|5560316|1065087-104-KAURH|1|20201028|
4543417|19970830|4543417|STANDING|652723|475998|13|jem|5560319|1065087-104-KAURH|1|20201028|
4543091|19970830|4543091|STANDING|851486|362273|5||5560322|1065087-102-AALIB|1|20201028|
4559470|19970830|4559470|SUBSCRIPT|648752|410852|52||5560325|1065032-103-AALIB|1|20201028|
4559733|19970830|4559733|SUBSCRIPT|657556|495335|5||5560328|1065032-103-AALIB|1|20201028|
